Poster,Name,Genre
https://image.tmdb.org/t/p/w185_and_h278_bestv2/coss7RgL0NH6g4fC2s5atvf3dFO.jpg,The Maze Runner,"Action, Mystery, Science Fiction, Thriller"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/q0R4crx2SehcEEQEkYObktdeFy.jpg,Minions,"Family, Animation, Adventure, Comedy"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/47pLZ1gr63WaciDfHCpmoiXJlVr.jpg,Olaf's Frozen Adventure,"Adventure, Animation, Comedy, Family, Fantasy, Music"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg,It,"Drama, Horror, Thriller"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/ebSnODDg9lbsMIaWg2uAbjn7TO5.jpg,Dunkirk,"Action, Drama, History, Thriller, War"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/8wBKXZNod4frLZjAKSDuAcQ2dEU.jpg,Jumanji,"Adventure, Fantasy, Family"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/eKi8dIrr8voobbaGzDpe8w0PVbC.jpg,Coco,"Adventure, Animation, Comedy, Family"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/jfIpMh79fGRqYJ6PwZLCntzgxlF.jpg,Valerian and the City of a Thousand Planets,"Adventure, Science Fiction, Action"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/ssCEE0bfj5gawzwZeGfqrGQtU3f.jpg,Robby and Toby's Fantastic Voyager,"Adventure, Family"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/cpOFmB6CGpS1J3B52rVd6mMgzo1.jpg,ClownTown,"Horror, Thriller"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/cGOPbv9wA5gEejkUN892JrveARt.jpg,Batman v Superman: Dawn of Justice,"Action, Adventure, Fantasy"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/wridRvGxDqGldhzAIh3IcZhHT5F.jpg,Sleight,"Drama, Thriller, Action, Science Fiction"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/5vHssUeVe25bMrof1HyaPyWgaP.jpg,John Wick,"Action, Thriller"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/rwn876MeqienhOVSSjtUPnwxn0Z.jpg,Lucy,"Action, Science Fiction"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/qey0tdcOp9kCDdEZuJ87yE3crSe.jpg,San Andreas,"Action, Drama, Thriller"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/gj282Pniaa78ZJfbaixyLXnXEDI.jpg,The Hunger Games: Mockingjay - Part 1,"Science Fiction, Adventure, Thriller"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/tWqifoYuwLETmmasnGHO7xBjEtt.jpg,Beauty and the Beast,"Family, Fantasy, Romance"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/f2LW5nTH6MUynBExIMvpEHEK6LA.jpg,Step Sisters,Comedy
https://image.tmdb.org/t/p/w185_and_h278_bestv2/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,Blade Runner 2049,"Mystery, Science Fiction, Thriller"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/t90Y3G8UGQp0f0DrP60wRu9gfrH.jpg,Avengers: Age of Ultron,"Action, Adventure, Science Fiction"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/bQHgpTVsAWjNQWS0frsl7DlzLX1.jpg,The Snowman,"Drama, Crime, Thriller"
https://image.tmdb.org/t/p/w185_and_h278_bestv2/oSLd5GYGsiGgzDPKTwQh7wamO8t.jpg,Thor: Ragnarok,"Science Fiction, Action, Adventure, Comedy"
